type	name	value	zone	address	bytes	access	other
Factory	UART0MIS	0xcdcdcdcd	Memory	0x4000c040	4	readWrite	strong	
Factory	UART0ICR	0xcdcdcdcd	Memory	0x4000c044	4	writeOnly	strong	
Factory	UART0DMACTL	0xcdcdcdcd	Memory	0x4000c048	4	readWrite	strong	
Factory	UART0_9BITADDR	0xcdcdcdcd	Memory	0x4000c0a4	4	readWrite	strong	
Factory	UART0_9BITAMASK	0xcdcdcdcd	Memory	0x4000c0a8	4	readWrite	strong	
Factory	UART0PP	0xcdcdcdcd	Memory	0x4000cfc0	4	readWrite	strong	
Factory	UART0CC	0xcdcdcdcd	Memory	0x4000cfc8	4	readWrite	strong	
Factory	UART1DR	0xcdcdcdcd	Memory	0x4000d000	4	readWrite	strong	
Factory	UART1RSR	0xcdcdcdcd	Memory	0x4000d004	4	readWrite	strong	
Factory	UART1ECR_UART_ALT	0xcdcdcdcd	Memory	0x4000d004	4	readWrite	strong	
Factory	UART1FR	0xcdcdcdcd	Memory	0x4000d018	4	readWrite	strong	
Factory	UART1ILPR	0xcdcdcdcd	Memory	0x4000d020	4	readWrite	strong	
Factory	UART1IBRD	0xcdcdcdcd	Memory	0x4000d024	4	readWrite	strong	
Factory	UART1FBRD	0xcdcdcdcd	Memory	0x4000d028	4	readWrite	strong	
Factory	UART1LCRH	0xcdcdcdcd	Memory	0x4000d02c	4	readWrite	strong	
Factory	UART1CTL	0xcdcdcdcd	Memory	0x4000d030	4	readWrite	strong	
Factory	UART1IFLS	0xcdcdcdcd	Memory	0x4000d034	4	readWrite	strong	
Factory	UART1IM	0xcdcdcdcd	Memory	0x4000d038	4	readWrite	strong	
Factory	UART1RIS	0xcdcdcdcd	Memory	0x4000d03c	4	readWrite	strong	
Factory	UART1MIS	0xcdcdcdcd	Memory	0x4000d040	4	readWrite	strong	
Factory	UART1ICR	0xcdcdcdcd	Memory	0x4000d044	4	writeOnly	strong	
Factory	UART1DMACTL	0xcdcdcdcd	Memory	0x4000d048	4	readWrite	strong	
Factory	UART1_9BITADDR	0xcdcdcdcd	Memory	0x4000d0a4	4	readWrite	strong	
Factory	UART1_9BITAMASK	0xcdcdcdcd	Memory	0x4000d0a8	4	readWrite	strong	
Factory	UART1PP	0xcdcdcdcd	Memory	0x4000dfc0	4	readWrite	strong	
Factory	UART1CC	0xcdcdcdcd	Memory	0x4000dfc8	4	readWrite	strong	
Factory	UART2DR	0xcdcdcdcd	Memory	0x4000e000	4	readWrite	strong	
Factory	UART2RSR	0xcdcdcdcd	Memory	0x4000e004	4	readWrite	strong	
Factory	UART2ECR_UART_ALT	0xcdcdcdcd	Memory	0x4000e004	4	readWrite	strong	
Factory	UART2FR	0xcdcdcdcd	Memory	0x4000e018	4	readWrite	strong	
Factory	UART2ILPR	0xcdcdcdcd	Memory	0x4000e020	4	readWrite	strong	
Factory	UART2IBRD	0xcdcdcdcd	Memory	0x4000e024	4	readWrite	strong	
Factory	UART2FBRD	0xcdcdcdcd	Memory	0x4000e028	4	readWrite	strong	
Factory	UART2LCRH	0xcdcdcdcd	Memory	0x4000e02c	4	readWrite	strong	
Factory	UART2CTL	0xcdcdcdcd	Memory	0x4000e030	4	readWrite	strong	
Factory	UART2IFLS	0xcdcdcdcd	Memory	0x4000e034	4	readWrite	strong	
Factory	UART2IM	0xcdcdcdcd	Memory	0x4000e038	4	readWrite	strong	
Factory	UART2RIS	0xcdcdcdcd	Memory	0x4000e03c	4	readWrite	strong	
Factory	UART2MIS	0xcdcdcdcd	Memory	0x4000e040	4	readWrite	strong	
Factory	UART2ICR	0xcdcdcdcd	Memory	0x4000e044	4	writeOnly	strong	
Factory	UART2DMACTL	0xcdcdcdcd	Memory	0x4000e048	4	readWrite	strong	
Factory	UART2_9BITADDR	0xcdcdcdcd	Memory	0x4000e0a4	4	readWrite	strong	
Factory	UART2_9BITAMASK	0xcdcdcdcd	Memory	0x4000e0a8	4	readWrite	strong	
Factory	UART2PP	0xcdcdcdcd	Memory	0x4000efc0	4	readWrite	strong	
Factory	UART2CC	0xcdcdcdcd	Memory	0x4000efc8	4	readWrite	strong	
Factory	UART3DR	0xcdcdcdcd	Memory	0x4000f000	4	readWrite	strong	
Factory	UART3RSR	0xcdcdcdcd	Memory	0x4000f004	4	readWrite	strong	
Factory	UART3ECR_UART_ALT	0xcdcdcdcd	Memory	0x4000f004	4	readWrite	strong	
Factory	UART3FR	0xcdcdcdcd	Memory	0x4000f018	4	readWrite	strong	
Factory	UART3ILPR	0xcdcdcdcd	Memory	0x4000f020	4	readWrite	strong	
Factory	UART3IBRD	0xcdcdcdcd	Memory	0x4000f024	4	readWrite	strong	
Factory	UART3FBRD	0xcdcdcdcd	Memory	0x4000f028	4	readWrite	strong	
Factory	UART3LCRH	0xcdcdcdcd	Memory	0x4000f02c	4	readWrite	strong	
Factory	UART3CTL	0xcdcdcdcd	Memory	0x4000f030	4	readWrite	strong	
